m          一
mn         丁
ju         七
mmm        三
my         下
jk         丈
ym         上
ng         丑
myvs       丐
mf         不 灭
mob        丙
pt         世
mfm        丕
bm         且 肛
om         丘
nem        丞
mgi        丟 玉 压
ttc        並
cl         丫
l          中
ll         串
kni        丸
hni        凡
by         丹
yg         主
nhs        乃
no         久 欠 飞
hi         么
ino        之
sk         尹 区
os         乍
hino       乏
hfd        乎
omh        乒
omi        乓
hjlp       乖
hdlp       乘
nu         乙
kn         九 夷
pd         也
on         乞 亿
xyru       乩
bdu        乳
jjon       乾
bbu        亂
nn         了
ninn       予
jlln       事
mm         二
md         于
mmi        云
tt         井 并
mvnm       互
mdm        五
mbm        亙
ypmm       些
mllm       亞
mem        亟
yv         亡
yck        交
ylnc       亦
yvho       亥
yrnn       亨
yrnd       享
yrf        京
yrbn       亭
xyrbn      亮
o          人
omm        仁
oj         什 午
omn        仃 气
oy         仆
okn        仇
onhs       仍
oin        今
oll        介
mo         仄
vio        以
odi        付
ond        仔
og         仕
opd        他
ojk        仗
oip        代
oini       令
ou         仙
oshh       仞
oyhs       仿
oyhn       伉
of         伙
osk        伊
oqo        伕
omdm       伍
oi         伐
od         休
oik        伏 仪
ol         仲 个
ohq        件
ohg        任
ohvl       仰
opp        仳
ocsh       份
oylm       企
oyt        位
oyg        住
ojmn       佇
ojp        佗
ommv       佞
ofq        伴
olln       佛
omnr       何
ojr        估
okm        佐
okr        佑 知
oksr       伽
osmr       伺
olwl       伸
ow         佃
oyr        佔
ovio       似
oam        但
obq        佣
oos        作
onf        你
oha        伯
ohpm       低
ooii       伶
omd        余
opr        佝
otq        佯
oyhv       依
ogdi       侍
ogg        佳
ojlk       使
ojkp       佬
otc        供
omnn       例
doo        來
orhu       侃
oma        佰
ott        併
onin       侈
ohnb       佩
olmo       佻
ombt       侖
ocb        佾
ohjd       侏
oymr       信
osme       侵
onmk       侯
omlk       便
okoo       俠
onib       俑
ofb        俏
ord        保
oryo       促
orhr       侶
obnd       俘
oiok       俟
oice       俊
ocor       俗
oowj       侮
ohdn       俐
ohqi       俄
ohvf       係
owg        俚
oobm       俎
ombn       俞
ojrr       倌
oytr       倍
oysk       倣
oioi       俯
ofqu       倦
ojcm       倥
oqkq       俸
oqmb       倩
ogtj       倖
omlb       倆
ojbm       值
ota        借
okmr       倚
omgn       倒
oan        們
oklu       俺
osmv       倀
osuu       倔
osjr       倨
obmc       俱
oaa        倡
owjr       個
olnk       候
ofbr       倘
olmy       俳
olhh       修
ohdv       倭
ohxu       倪
ohwj       俾
oomb       倫
oiar       倉
ohoa       偺
oikf       偽
oyrn       停
orse       假
osav       偃
otkr       偌
ojrk       做
odmq       偉
onkq       健
owlb       偶
owmv       偎
oppa       偕
oybc       偵
obcn       側
oomn       偷
ohsb       偏
olhk       倏
ojmo       傢
oybs       傍
傅          傅
othb       備
onqd       傑
ohui       傀
ooir       傖
oooj       傘
oilb       傭
oqmc       債
ogsk       傲
ojii       傳
僅          僅
opmc       傾
ouog       催
ooah       傷
ohce       傻
ohwp       傯
ocwa       僧
oytg       僮
oggu       僥
ogrr       僖
okua       僭
okcf       僚
otco       僕
onao       像
ohkb       僑
ohsg       僱
oytp       億
otgi       儀
osrj       僻
omwm       僵
omwc       價
otwv       儂
ooma       儈
oomo       儉
ombb       儒
olmt       儘
ogni       儔
ojmc       儐
ombe       優
ofbc       償
owww       儡
oyra       儲
ommp       儷
orrk       儼
mu         兀
mmu        元
ihu        允
yihu       充
rhu        兄
fmu        光
ukhu       兇
lmuo       兆
hghu       先
crhu       兌 兑
jrhu       克
ssuu       兕
免          免
nahi       兔
hxhu       兒
ycrhu      兗
hshu       兜
jujru      兢
oh         入
ob         內 内
omg        全
mlbo       兩
ho         八
yc         六
cmvs       兮
ci         公
tc         共 业
omc        兵
bmmc       具
tmmc       其
tbc        典
cmxc       兼
lpwtc      冀
gb         冉
bt         冊 皿
mgb        再
abu        冒
lwb        冑 胄
冕          冕
asje       最
冗          冗
bmui       冠
bnai       冤
bayc       冥
bmso       冢 豚
heim       冬
ime        冰
imir       冶
imoii      冷
immnn      冽
imdw       凍
imgce      凌
imog       准
imbgr      凋
imywd      凜
impko      凝
hn         几
hnhag      凰
uthn       凱
nomrn      凳
uk         凶
ssu        凹
uu         出
bss        凸
mune       函
sh         刀
sm         刁
shh        刃
csh        分
psh        切
kln        刈
mjln       刊
mnln       列
mtln       刑
iln        划
phln       刎
rsln       別 别
fqln       判
hdln       利 剁
btln       刪
puln       刨
yoln       刻
fqsh       券
sbln       刷
dbln       刺
mgln       到
hrln       刮 劄
hbln       制
kcln       剎 刹 刹
chln       剃
fbln       削
tbln       前
dlln       剌
juln       剋 剜
bcln       則
yrln       剖
ahln       剔
buln       剛
veln       剝
tbnh       剪
mwln       副
jrln       割
utln       剴
orln       創
hpln       剩
vdln       剿
ymln       剷
mfln       剽
lmln       劃
xyoln      劇
sjsh       劈
hcln       劉
ooln       劍
yxln       劑
ks         力
ksr        加
mks        功 历
fhks       劣
giks       劫 勢
bmks       助
veks       努
prks       劬
yoks       劾
nbks       勇
勉          勉
jdks       勃
mmks       勁
tjks       勒
nhhes      務
tvks       勘
hgks       動
ffbks      勞
bfqs       勝
rcks       勛
taks       募
vdks       勦
tmks       勤
mbks       勵
tgks       勸
pmm        勻
pi         勾 勺 勺
phh        勿
pru        包
pkk        匆
puk        匈
pijb       匍
pmrw       匐
kspru      匏
uh         匕
op         化 仑
lmp        北
aop        匙
slb        匝
smg        匡
shml       匠
swl        匣
slmy       匪
seog       匯
slmc       匱
sc         匹
stkr       匿
srrr       區
shsb       匾
j          十
hj         千
ht         升
tj         卅
ohj        仟
fq         半
jt         卉
yooj       卒
jkss       協
yaj        卓
hwhj       卑
jbtj       南
jibi       博
y          卜
yy         卞
ymy        卡
yr         占
ggy        卦
hhsl       卯
hmsu       卮
hpsl       印
nmsu       危
aisl       即
hhsli      卵
fqsu       卷
omsl       卸
htsl       卹
crsl       卻
hhail      卿
msu        厄
mand       厚
mhaf       原
mta        厝
mtuo       厥
mabk       厭
mtwb       厲
gi         去
iiih       參
nk         又
ei         叉 戏
ke         友
nhe        及
he         反
sje        取
yfe        叔
bbe        受
fqhe       叛
hxe        叟
awle       曼
tcte       叢
r          口
mnr        可
jr         古
kr         右
shr        召
rmn        叮
rsl        叩
rsh        叨
rsm        叼
smr        司
sr         叵
rvl        叫
rks        另
rc         只 叭
lk         史
rp         叱
ir         台
pr         句
gr         吉
jlk        吏
bmr        同
rlb        吊
rg         吐
rmd        吁
rdi        吋
her        各
hbr        向
nir        名
omr        合
ron        吃
hmr        后
rvi        吆
rhp        吒
ykr        吝
ryhn       吭
mkr        吞
mmr        吾
mfr        否
rso        呎
rau        吧 邑
rd         呆
rmsu       呃
rvnk       吳
rhg        呈
rhr        呂
skr        君
rcsh       吩
hgr        告
rno        吹
rphh       吻
rnhe       吸
rihu       吮
rfh        吵
rob        吶 呐 呐
rik        吠
rndu       吼
rmvh       呀
rje        吱
oinr       含
roin       吟
rjd        味
rmnr       呵
rksr       咖
rmfm       呸
rjr        咕
rbm        咀
rlwl       呻
rwl        呷
ruu        咄
rrhn       咒
咆          咆
rhfd       呼
rodi       咐
rhvo       呱
rve        呶
hdr        和
咚          咚
rsp        呢
bgr        周
ros        咋
omrl       命
hor        咎
ryck       咬
yrhv       哀
ior        咨
rtk        哎
jir        哉
ihmr       咸
rkn        咦
ryvo       咳
rgg        哇
rmcw       哂
rwk        咽
rfd        咪
rrr        品
rtc        哄
romr       哈 啥 啥
rher       咯
sorc       咫
rhbu       咱
rod        咻
rfb        哨
ilr        唐
rymr       唁
ryib       唷
ryrn       哼
mrmnr      哥
qlr        哲
rice       唆
rijb       哺
rmmr       唔
rwg        哩
rrik       哭 獸
rbuc       員
riok       唉
rjkd       哮
rsql       哪
rhqi       哦
rail       唧
ycbr       商
rqha       啪
rqyt       啦
rmso       啄
rmlm       啞
rlmy       啡
rymb       啃
rnlr       啊
raa        唱
rff        啖
anr        問
rpou       啕
rog        唯
rhwj       啤
roip       唸
ogr        售
reee       啜
rypn       唬
roml       啣
rhsk       唳
xybr       啻
rjhr       喀
rjmm       喧
rybb       啼
rihr       喊
rapp       喝
rumb       喘
rwmv       喂
grtr       喜 嘉
grrv       喪
rsmg       喔
rdln       喇
rptd       喋
rjbj       喃
rdam       喳
rrwj       單
rwb        喟
rhjm       唾
rvfi       喲
rnbk       喚 唤
romn       喻
hkrbr      喬
rmwg       喱
rhdf       啾
ronk       喉
rthm       嗟
reoy       嗨
reed       嗓
rjbf       嗦
rsqf       嗎
rjpa       嗜
gowr       嗇
rgit       嗑
rbsmr      嗣
rumi       嗤
rwkp       嗯
rhrf       嗚
rcim       嗡
rhuk       嗅
roir       嗆
rhaj       嗥
rysk       嗾
rycb       嘀
ridd       嘛
fbrpa      嘗
rdlo       嗽
rsrr       嘔
rtao       嘆
rlav       嘍
rmui       嘎
rgsk       嗷
rqmc       嘖
rjal       嘟
rtwa       嘈
rffs       嘮
rgrr       嘻
rkcf       嘹
rjjb       嘲
rwgf       嘿
rtmj       嘩
rypm       噓
rgbt       噎
rtco       噗
rjtc       噴
rtcl       嘶
rlx        嘯
rvii       嘰
royb       噙
rytp       噫
rfbw       噹
mgrr       噩
rddf       噤
rpuc       噸
rypb       嘴
rrrd       噪
rrikr      器
rtwv       噥
rypo       噱
rbbe       噯
rhmo       噬
rhbk       噢
ryro       嚎
rjpn       嚀
rfba       嚐
rmbb       嚅
rgcc       嚇
rjbo       嚏
rnwa       嚕
vlhbr      嚮
rtlf       嚥
rybp       嚨
ryrv       嚷
rbcv       嚶
rrmmk      嚴
rbwi       嚼
rsjj       囁
rjji       囀
rrmcr      囂
rtgi       囈
jbrrv      囊
rwlg       囉
rtnd       囌
rsei       囑
wc         四
wo         囚
wk         因
wr         回
hwkk       囪
wd         困 果
wpu        囤
wjr        固
wijb       圃
wfqu       圈
wirm       國
wdmq       圍
wgrv       園
wrbc       圓
wjii       團
wrjw       圖
g          土
glll       圳
gpd        地
klg        在 堑
gg         圭
gmms       圬
gru        圯
gyhs       坊
gyhn       坑
gylm       址
gby        坍
gpim       均
gno        坎
gnhe       圾
oog        坐
gmf        坏
gyt        垃
gmnr       坷
gmfj       坪
gtm        坩
gdhe       坡
gam        坦
glwl       坤
ghmy       坼
hjtm       垂
mng        型
gav        垠
gmam       垣
ghmr       垢
gihs       城
gkms       垮
gmlk       埂
gijb       埔
gwg        埋
giok       埃
girm       域
seg        堅
mmg        堊
gog        堆
ghrj       埠
ghwj       埤
tcg        基
fbrg       堂
gjka       堵
gjkni      執
gytr       培
gggu       堯
gtmv       堪
gamh       場
gamo       堤
gsav       堰
gjsle      報
odg        堡
jtcg       塞
tbg        塑
gilr       塘
edg        塗
gbmo       塚
gtor       塔
gjbc       填
gasm       塌
gabt       塭
ghui       塊
ghrf       塢
ipg        塵 垄
xykg       塾
gytu       境
takg       墓
gig        墊
jlg        塹
wng        墅
gseq       墀
gypc       墟
gcwa       增
gjtc       墳
nog        墜 坠
nbg        墮 角 堕
sjg        壁
bvg        墾
gywm       壇
yvgg       壅
gyro       壕
mkg        壓
yeg        壑
gitc       壙
wwwg       壘
gywv       壞
ypg        壟
gmhm       壢
gyrv       壤
gmbb       壩
jm         士
hg         壬
vmg        壯
gbmt       壹
gblm       壺
gnmi       壽
muhe       夏
tche       夔
ni         夕 弘
niy        外
hnmni      夙
nini       多
yonk       夜
nnpr       夠
wdnin      夥
twln       夢 萝
nijmc      夤
k          大
mk         天
qo         夫
ki         太
hk         夭
lbk        央
hqo        失
kmms       夸
koo        夾
qkq        奉
kmnr       奇
kmmf       奈
klwu       奄
kjt        奔
xyck       奕
qhk        契
qkhk       奏
kgg        奎
nbk        奐
ksmi       套
vgk        奘
bvik       奚
kjka       奢
cmwk       奠
hbk        奧 奥
kogi       奪
ksrr       奩
kogw       奮
v          女
ve         奴
vnhs       奶
yvv        妄
vmj        奸
vsu        妃
vnd        好
vpd        她
vr         如
vpi        妁
vmv        妝
vhs        妒
vyhs       妨
vng        妞
vpp        妣
vfh        妙
vhk        妖
vmt        妍
vnin       妤
vje        妓
vhg        妊
bv         妥
ytv        妾
jlv        妻
hdv        委
vjd        妹
vsp        妮
vjr        姑
vwyi       姆
vbm        姐
