，	ZXAB
、	ZXAC
。	ZXAD
．	ZXAE
‧	ZXAF
；	ZXAG
：	ZXAH
？	ZXAI
！	ZXAJ
︰	ZXAK
…	ZXAL
‥	ZXAM
﹐	ZXAN
﹑	ZXAO
﹒	ZXAP
·	ZXAQ
﹔	ZXAR
﹕	ZXAS
﹖	ZXAT
﹗	ZXAU
｜	ZXAV
–	ZXAW
︱	ZXAX
—	ZXAY
︳	ZXBA
╴		  ZXBB
︴	ZXBC
﹏	ZXBD
（	ZXBE
）	ZXBF
︵	ZXBG
︶	ZXBH
｛	ZXBI
｝	ZXBJ
︷	ZXBK
︸	ZXBL
〔	ZXBM
〕	ZXBN
︹	ZXBO
︺	ZXBP
【	ZXBQ
】	ZXBR
︻	ZXBS
︼	ZXBT
《	ZXBU
》	ZXBV
︽	ZXBW
︾	ZXBX
〈	ZXBY
〉	ZXCA
︿	ZXCB
﹀	ZXCC
「	ZXCD
」	ZXCE
﹁	ZXCF
﹂	ZXCG
『	ZXCH
』	ZXCI
﹃	ZXCJ
﹄	ZXCK
﹙	ZXCL
﹚	ZXCM
﹛	ZXCN
﹜	ZXCO
﹝	ZXCP
﹞	ZXCQ
‘	ZXCR
’	ZXCS
“	ZXCT
”	ZXCU
〝	ZXCV
〞	ZXCW
‵	ZXCX
′	ZXCY
